;Novelty;;;;;WL;;BS
Record;Win_size;Kernel_size (%);Threshold;Overlap (%);F1_score;Win_size;F1_score;F1_score
0;12500;0.63;0.14;0.95;1;50000;0.96;0.97
1;12500;1.25;0.19;0.95;0.97;50000;0.96;0.97
2;25000;2.5;0.1;0.95;0.92;50000;0.92;0.83
3;50000;0.62;0.28;0.95;0.93;50000;0.85;0.48
4;50000;0.62;0.14;0.95;0.67;50000;0.64;0.34
5;12500;0.63;0.14;0.95;1;50000;0.96;0.9
6;12500;1.25;0.19;0.95;1;50000;0.96;0.9
7;12500;1.25;0.23;0.95;1;25000;0.93;0.9
8;12500;1.25;0.28;0.95;1;25000;0.86;0.55
9;12500;1.25;0.32;0.95;0.96;25000;0.71;0.34
10;25000;2.5;0.41;0.95;0.75;50000;0.67;0.34
11;12500;1.25;0.1;0.95;1;50000;0.96;0.9
