;Novelty;;;;;WL;;BS
Record;Win_size;Kernel_size (%);Threshold;Overlap (%);F1_score;Win_size;F1_score;F1_score
0;2000;0.62;0.19;0.95;0.9;2500;0.73;0.29
1;2000;1.25;0.28;0.95;0.86;3000;0.89;0.39
2;1500;1.27;0.1;0.95;1;2000;0.95;0.78
3;1500;0.63;0.14;0.95;1;2000;0.89;0.49
4;2000;1.25;0.28;0.95;0.92;1500;0.85;0.2
5;1500;0.63;0.28;0.95;0.88;1500;0.74;0.29
6;2000;1.25;0.19;0.95;0.95;2000;0.95;0.49
7;1500;1.27;0.1;0.95;0.93;2000;0.85;0.63
8;2000;0.62;0.28;0.95;1;2000;0.95;0.44
9;2000;1.25;0.28;0.95;0.97;2500;0.92;0.54
10;1000;1.25;0.1;0.95;1;2500;0.98;0.82
11;2000;1.25;0.14;0.95;0.83;2000;0.85;0.34
12;1000;0.62;0.37;0.95;1;2500;0.85;0.78
13;1000;1.25;0.32;0.95;0.95;1500;0.65;0.29
14;2000;0.62;0.14;0.95;0.93;1500;0.85;0.54
15;2000;0.62;0.28;0.95;0.9;2000;0.81;0.39
16;1500;2.53;0.1;0.95;0.98;2000;0.83;0.29
17;2000;0.62;0.5;0.95;0.97;1500;0.9;0.49
18;2000;0.62;0.23;0.95;0.93;1500;0.75;0.44
19;1500;0.63;0.1;0.95;0.95;2000;0.95;0.59
20;2000;1.25;0.19;0.95;0.95;2000;0.95;0.44
21;2000;1.25;0.19;0.95;0.84;2000;0.9;0.29
22;1500;1.27;0.28;0.95;0.9;1500;0.85;0.54
23;2000;0.62;0.19;0.95;0.86;2000;0.76;0.39
24;1500;1.27;0.37;0.95;0.95;2000;0.85;0.68
25;1500;0.63;0.19;0.95;0.98;2000;0.9;0.54
26;1500;1.27;0.19;0.95;0.83;1500;0.75;0.59
27;1500;1.27;0.37;0.95;0.9;1500;0.8;0.29
28;1500;1.27;0.23;0.95;1;2000;0.76;0.34
29;2000;2.5;0.1;0.95;0.92;2500;0.86;0.2
30;1000;1.25;0.19;0.95;1;1500;0.9;0.73
31;1500;1.27;0.41;0.95;0.89;2000;0.77;0.29
32;2000;0.62;0.23;0.95;0.83;1500;0.8;0.63
33;2000;0.62;0.28;0.95;0.93;1500;0.7;0.34
34;1500;0.63;0.14;0.95;0.95;2000;0.84;0.83
35;1000;2.5;0.14;0.95;1;1500;0.8;0.29
